Palabra,Plural,Acento,Caracter
ABRIR,NULL,NULL,NULL
AHORRO,AHORROS,,
ANDROID,NULL,NULL,NULL
ANUNCIO,ANUNCIOS,NULL,NULL
APLICACION,NULL,APLICACIÓN,NULL
APUESTA,APUESTAS,AHORA,NULL
ATRACTIVA,ATRACTIVAS,NULL,NULL
AUTO,NULL,NULL,NULL
BAJO,BAJOS,,
BEBE,BEBES,BEBÉS,BEBÉ
BELLEZA,BELLEZAS,NULL,NULL
BENEFICIO,BENEFICIOS,NULL,NULL
BLUETOOTH,BLUETOOTH,NULL,NULL
BONIFICACION,BONIFICACIONES,BONIFICACIÓN,NULL
BUSCAR,BUSCAS,BUSCANDO,NULL
CLICK,AQUI,NULL,AQUI 
CLICK AHORA,CLICK,NULL,NULL
COMPRA AHORA,COMPRA,NULL,NULL
COMPRAMOS,NULL,NULL,NULL
COMPRAR,,,COMPRA
CONDICION,CONDICIONES,NULL,NULL
CONOCE,CONOCE,NULL,NULL
CONTACTANOS,NULL,CONTÁCTANOS,NULL
CONTRATA,CONTRATAR,NULL,NULL
COSTO,COSTOS,NULL,NULL
COTIZA,NULL,NULL,NULL
CREDITO,CRÉDITO,CRÉDITO,NULL
CUPON,CUPONES,CUPÓN,NULL
DESCARGA,NULL,NULL,NULL
DESCUENTO,DESCUENTOS,,%
DINERO,DINEROS,,
DULCE,DULCES,DULCERÍA,NULL
ECONOMICO,ECONOMICOS,ECONÓMICO,ECONÓMICOS
ELECTRONICA,ELECTRONICOS,ELECTRÓNICA,NULL
ENVIO,ENVIOS,ENVÍO,NULL
ESPECIAL,ESPECIALES,,
FACTURA,FACTURACION,FACTURACIÓN,NULL
GRAN BARATA,BARATA,GRAN,NULL
GRATUITO,GRATUITOS,,GRATIS
HASTA,,,
HOGAR,NULL,NULL,NULL
HOGAR ,HOGAR,NULL,NULL
ILIMITADO,ILIMITADOS,,
INGRESAR,INGRESAR,NULL,NULL
INGRESAR AHORA,INGRESAR,NULL,INGRESAR
INTERESES,NULL,NULL,MSI
INTERNET,,,WEB
INVIERNO,NULL,NULL,NULL
IOS,NULL,NULL,NULL
JUGUETE,JUGUETES,NULL,NULL
LIBRO,LIBROS,NULL,NULL
L?NEA BLANCA,L?NEA,BLANCA ,NULL
LIQUIDACION,LIQUIDACIONES,LIQUIDACIÓN,
LLAMANOS,NULL,LLÁMANOS,NULL
MAQUILLAJE,MAQUILLAJES,NULL,NULL
MEDICO,MEDICOS,NULL,NULL
MESES,NULL,NULL,NULL
MODA,MODAS,NULL,NULL
MOTO,MOTOS,NULL,NULL
OFERTA,OFERTAS,,%
OTOÑO,NULL,NULL,NULL
PATROCINADO,PATROCINADOS,,
PERFUME,PERFUMES,NULL,NULL
PLAN,PLANES,,
PRECIO,PRECIOS,,$
PRIMAVERA ,NULL,NULL,NULL
PRODUCTO,PRODUCTOS,,
PROMOCION,PROMOCIONES,PROMOCIÓN,PROMO
PROTEGE,NULL,NULL,NULL
PUNTO,PUNTOS,,
QUALITAS,QUALITAS,QUÁLITAS,NULL
RAPIDO,RAPIDOS,,
REBAJA,REBAJAS,,-
RECOMPENSA,RECOMPENSAS,,
REGALO,REGALOS,,
REGISTRATE,REGISTRATE,NULL,NULL
RESTAURANTE,RESTAURANTES,,NULL
REVISTA,REVISTAS,NULL,NULL
SALUD,NULL,NULL,NULL
SEGURO,SEGUROS,NULL,NULL
SERVICIO,SERVICIOS,,
SIGUENOS,NULL,SÍGUENOS,NULL
TAXI,TAXI,NULL,NULL
TECNOLOGIA,TECNOLOGIAS,TECNOLOGÍA,TECNOLOGÍAS
TERMINO,TERMINOS,TÉRMINO,TÉRMINOS
TIEMPO AIRE,TIEMPO ,AIRE,NULL
TIENDA,TIENDAS,SUCURSAL,SUCURSALES
UNETE,NULL,ÚNETE,NULL
USADO,NULL,NULL,NULL
VENDE,NULL,NULL,NULL
VER VIDEO,VER,VIDEO,NULL
VERANO,NULL,NULL,NULL
VIDA,NULL,NULL,NULL
VIDEOJUEGO,VIDEOJUEGOS,NULL,NULL
WIRELESS,WIRELESS,WI-FI,WIFI
