Producto,Submarca,Marca,Abreviatura
370Z,370Z,NISSAN,
501,501,LEVIS,
502,502,LEVIS,
505,505,LEVIS,
510,510,LEVIS,
511,511,LEVIS,
512,512,LEVIS,
527,527,LEVIS,
559,559,LEVIS,
ACCESORIOS,PANDORA,PANDORA,NULL
ACCORD,ACCORD,HONDA,
"ACTIVE WATCH","ACTIVE WATCH",HUAWEI,
ADIDAS-ORIGINALS,ORIGINALS,ADIDAS,
AFIRME,AFIRME,AFIRME,NULL
AIG,AIG,"AIG SEGUROS",NULL
"AIR ZOOM",ZOOM,NIKE,
AIR-FORCE,AIR-FORCE,NIKE,
AIR-MAX,AIR-MAX,NIKE,
AIRPODS,AIRPODS,APPLE,
"AIRPODS PRO","AIRPODS PRO",APPLE,
AKG,AKG,SAMSUNG,
"ALL STAR",CONVERSE,CONVERSE,
ALPHABOOST,BOOST,ADIDAS,
ALPHABOUNCE,BOUNCE,ADIDAS,
ALTIMA,ALTIMA,NISSAN,
AMAZON,AMAZON,AMAZON,AMAZON
ANA,ANA,"ANA SEGUROS",NULL
"APPLE MUSIC",MUSIC,APPLE,
"APPLE PENCIL",PENCIL,APPLE,
"APPLE TV",TV,APPLE,
"APPLE WATCH","APPLE WATCH",APPLE,
AT&T,ATT,AT&T,ATT
ATLAS,ATLAS,"SEGUROS ATLAS",NULL
AVANZA,AVANZA,TOYOTA,
AVEO,AVEO,CHEVROLET,
AXXA,AXXA,AXXA,NULL
BANAMEX,NULL,BANAMEX,NULL
BANORTE,BANORTE,BANORTE,NULL
"BARSTOW WESTERN","BARSTOW WESTERN",LEVIS,
BBVA,BBVA,BANCOMER,NULL
BEAT,BEAT,CHEVROLET,
BNP,BNP,BNP,NULL
BODEGAARRERA,BODEGA,"BODEGA AURRERA",BODEGA
BOLT,BOLT,CHEVROLET,
BOOKING,BOOKING,BOOKING,NULL
BOOST,BOOST,ADIDAS,
BOUNCE,BOUNCE,ADIDAS,
"CALIENTE MX",CALIENTE,CALIENTE,NULL
CAMARA,CAMARAS,CÁMARA,NULL
CAMARO,CAMARO,CHEVROLET,
CANNON,CANNON,CANNON,NULL
CELLNEX,CELLNEX,CELLNEX,CELLNEX
CHEYENNE,CHEYENNE,CHEVROLET,
"CHUCK TAYLOR",CONVERSE,CONVERSE,
CINEPOLIS,CINEPOLIS,CINÉPOLIS,CINEPOLIS
CINES,SOLO,PELICULAS,NULL
"CITI BANAMEX",CITI,BANAMEX,NULL
CITY,CITY,HONDA,
CIVIC,CIVIC,HONDA,
"CLASSIC WESTERN","CLASIC WESTERN",LEVIS,
"CLASSIC WORKER","CLASSIC WORKER",LEVIS,
CLIMA-COOL,CLIMA-COOL,ADIDAS,
CLOUD,"CREATIVE CLOUD","CREATIVE CLOUD",NULL
CONS,CONVERSE,CONVERSE,
"CORE I3","CORE I3",INTEL,
"CORE I5","CORE I5",INTEL,
"CORE I7","CORE I7",INTEL,
"CORE I9","CORE I9",INTEL,
COROLLA,COROLLA,TOYOTA,
CR-V,CR-V,HONDA,
CREATIVE,"CREATIVE CLOUD","CREATIVE CLOUD",NULL
CX-30,CX-30,MAZDA,
CX-9,CX-9,MAZDA,
"DAMIAN LILLARD",BASQUETBALL,ADIDAS,DAME
DIDI,DIDI,DIDI,NULL
"DONOVAN MITCHELL",BASQUETBALL,ADIDAS,SPIDAL-MITCHEL
EARPODS,EARPODS,APPLE,
EBAY,NULL,NULL,NULL
ECOSPORT,ECOSPORT,FORD,
EDGE,EDGE,FORD,
ELECTRONICOS1,,ACER,
ELECTRONICOS2,,ASUS,
ELECTRONICOS3,,DELL,
