Palabra,Plural,Acento,Caracter
OPEN,NULL,NULL,NULL
SAVING,SAVINGS,,
ANDROID,NULL,NULL,NULL
AD,ADVERTISEMENTS,NULL,ADS
APPLICATION,NULL,APPLICATION,NULL
BET,BETS,NOW,NULL
ATTRACTIVE,ATTRACTIONS,NULL,NULL
CAR,NULL,NULL,NULL
LOW,LOW,,
BABY,BABIES,BABIES,BABY
BEAUTY,Beauties,NULL,NULL
BENEFIT,BENEFITS,NULL,NULL
BLUETOOTH,BLUETOOTH,NULL,NULL
BONUS,BONUSES,BONUS,NULL
SEARCH,LOOKING FOR,SEARCHING,NULL
CLICK,HERE,NULL,HERE
CLICK NOW,CLICK,NULL,NULL
BUY NOW,PURCHASE,NULL,NULL
WE BOUGHT,NULL,NULL,NULL
TO BUY,,,PURCHASE
CONDITION,TERMS,NULL,NULL
KNOWN,KNOWN,NULL,NULL
CONTACT US,NULL,CONTACT US,NULL
Hire,CONTRACT,NULL,NULL
COST,COSTS,NULL,NULL
QUOTE,NULL,NULL,NULL
CREDIT,CREDIT,CREDIT,NULL
COUPON,COUPONS,COUPON,NULL
DOWNLOAD,NULL,NULL,NULL
DISCOUNT,DISCOUNTS,,%
MONEY,MONEYS,,
CANDY,SWEET,CANDY STORE,NULL
ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC
ELECTRONICS,ELECTRONICS,ELECTRONICS,NULL
SHIPPING,SHIPPING,SHIPPING,NULL
SPECIAL,SPECIAL,,
BILL,BILLING,BILLING,NULL
GREAT CHEAP,CHEAP,GREAT,NULL
GRATUITOUS,FREE,,FREE
UNTIL,,,
HOME,NULL,NULL,NULL
HOME,HOME,NULL,NULL
UNLIMITED,UNLIMITED,,
ENTEROKAY,ENTEROKAY,NULL,NULL
ENTER NOW,ENTEROKAY,NULL,ENTEROKAY
INTERESTS,NULL,NULL,M: YES
INTERNET,,,WEB
WINTER,NULL,NULL,NULL
IOS,NULL,NULL,NULL
TOY,TOYS,NULL,NULL
BOOK,BOOKS,NULL,NULL
WHITE LINE,LEA,WHITE,NULL
SETTLEMENT,SETTLEMENTS,SETTLEMENT,
CALL US,NULL,CALL US,NULL
MAKEUP,MAKE-UP,NULL,NULL
DOCTOR,MEDICAL,NULL,NULL
MONTHS,NULL,NULL,NULL
FASHION,FASHIONS,NULL,NULL
MOTORCYCLE,MOTORCYCLES,NULL,NULL
OFFER,OFFERS,OFF,%
AUTUMN,NULL,NULL,NULL
SPONSORED,SPONSORED,,
FRAGRANCE,PERFUMES,NULL,NULL
PLAN,PLANS,,
PRICE,PRICES,,$
SPRING,NULL,NULL,NULL
PRODUCT,PRODUCTS,,
PROMOTION,PROMOTIONS,PROMOTION,PROMO
PROTECTS,NULL,NULL,NULL
POINT,POINTS,,
QUALITAS,QUALITAS,QUÁLITAS,NULL
QUICK,RAPID,,
REDUCTION,SALE,,-
REWARD,REWARDS,,
PRESENT,GIFTS,,
SIGN UP,SIGN UP,NULL,NULL
RESTAURANT,RESTAURANTS,,NULL
MAGAZINE,JOURNALS,NULL,NULL
HEALTH,NULL,NULL,NULL
INSURANCE,INSURANCE,NULL,NULL
SERVICE,SERVICES,,
FOLLOW US,NULL,FOLLOW US,NULL
CAB,CAB,NULL,NULL
TECHNOLOGY,TECHNOLOGIES,TECHNOLOGY,TECHNOLOGIES
FINISHED,TERMS,FINISHED,TERMS
CELLPHONE MINUTES,WEATHER,AIR,NULL
STORE,SHOPS,BRANCH OFFICE,BRANCH OFFICES
JOIN UP,NULL,JOIN UP,NULL
USED,NULL,NULL,NULL
SELL,NULL,NULL,NULL
WATCH VIDEO,SEE,VIDEO,NULL
SUMMER,NULL,NULL,NULL
LIFETIME,NULL,NULL,NULL
VIDEOGAME,VIDEO GAME,NULL,NULL
WIRELESS,WIRELESS,WIFI,WIFI
