CLAVE,Tipo,Concepto
5G,INTERNET,INTERNET
AMERICANO,DEPORTES,ENTRETENIMIENTO
AUDÍFONOS,ELECTRONICO,ENTRETENIMIENTO
BASQUET,DEPORTES,ENTRETENIMIENTO
BASQUETBOL,DEPORTES,ENTRETENIMIENTO
BEISBOL,DEPORTES,ENTRETENIMIENTO
BESTBUY,"ELECTRODOMESTICOS , ELECTRONICA",ELECTRONICA
BOCINA,ELECTRONICOS,ENTRETENIMIENTO
BOCINAS,ELECTRONICOS,ENTRETENIMIENTO
BOLSAS,ACCESORIO,VESTIMENTA
CELULARES,ELECTRONICOS,ELECTRONICA
COCINA,"HABITACION ","CASA HOGAR "
COMPUTADORAS,ELECTRONICOS,ELECTRONICA
CONSOLAS,ELECTRONICOS,ENTRETENIMIENTO
CORRER,DEPORTES,ENTRETENIMIENTO
ELECTRODOMESTICOS,ELECTRODOMESTICOS,ELECTRODOMESTICOS
ELECTRONICOS,ELECTRONICOS,ELECTRONICA
ELLAS,GENERO,SOCIAL
ELLOS,GENERO,SOCIAL
FAMILIA,GENERO,SOCIAL
FUTBOL,DEPORTES,ENTRETENIMIENTO
GIMNASIA,DEPORTES,ENTRETENIMIENTO
GIMNASIO,DEPORTES,ENTRETENIMIENTO
HOMBRE,GENERO,SOCIAL
LAPTOPS,ELECTRONICOS,ELECTRONICA
LAVADORAS,ELECTRONICOS,ELECTRODOMESTICOS
LICUADORAS,ELECTRONICOS,ELECTRODOMESTICOS
NATACION,DEPORTES,ENTRETENIMIENTO
PANTALLA,ELECTRONICOS,ENTRETENIMIENTO
PANTALLAS,ELECTRODOMESTICO,"CASA HOGAR"
REFRIGERADORES,ELECTRONICOS,ELECTRODOMESTICOS
SMARTPHONES,ELECTRONICOS,ELECTRONICA
SMARTWATCHS,ELECTRONICOS,ELECTRONICA
SOCCER,DEPORTES,ENTRETENIMIENTO
TABLETS,ELECTRONICOS,ELECTRONICA
VIDEOJUEGOS,ENTRETENIMIENTO,ENTRETENIMIENTO
"WALLMART ",VIVERES,ALIMENTOS
