CLAVE,Tipo,Concepto
5G,INTERNET,INTERNET
AMERICAN,SPORTS,DIVERTISSEMENT
CASQUE,ÉLECTRONIQUE,DIVERTISSEMENT
PANIER,SPORTS,DIVERTISSEMENT
BASKETBALL,SPORTS,DIVERTISSEMENT
BASEBALL,SPORTS,DIVERTISSEMENT
BESTBUY,"APPAREILS ÉLECTRIQUES, ÉLECTRONIQUE",ÉLECTRONIQUE
CORNE,ÉLECTRONIQUE,DIVERTISSEMENT
CUISINES,ÉLECTRONIQUE,DIVERTISSEMENT
SACS,ACCESSOIRE,ROBE
TÉLÉPHONES CELLULAIRES,ÉLECTRONIQUE,ÉLECTRONIQUE
CUISINE,CHAMBRE,MAISON
ORDINATEURS,ÉLECTRONIQUE,ÉLECTRONIQUE
CONSOLES,ÉLECTRONIQUE,DIVERTISSEMENT
COURIR,SPORTS,DIVERTISSEMENT
APPAREILS,APPAREILS,APPAREILS
ÉLECTRONIQUE,ÉLECTRONIQUE,ÉLECTRONIQUE
ELLES,GENRE,SOCIAL
ILS,GENRE,SOCIAL
FAMILLE,GENRE,SOCIAL
FOOTBALL,SPORTS,DIVERTISSEMENT
GYM,SPORTS,DIVERTISSEMENT
GYM,SPORTS,DIVERTISSEMENT
L'HOMME,GENRE,SOCIAL
ORDINATEURS PORTABLES,ÉLECTRONIQUE,ÉLECTRONIQUE
RONDELLES,ÉLECTRONIQUE,APPAREILS
Mélangeurs,ÉLECTRONIQUE,APPAREILS
NATATION,SPORTS,DIVERTISSEMENT
AFFICHAGE,ÉLECTRONIQUE,DIVERTISSEMENT
ÉCRANS,APPAREILS,MAISON
RÉFRIGÉRATEURS,ÉLECTRONIQUE,APPAREILS
SMARTPHONES,ÉLECTRONIQUE,ÉLECTRONIQUE
SMARTWATCHS,ÉLECTRONIQUE,ÉLECTRONIQUE
SOCCER,SPORTS,DIVERTISSEMENT
COMPRIMÉS,ÉLECTRONIQUE,ÉLECTRONIQUE
JEUX VIDEO,DIVERTISSEMENT,DIVERTISSEMENT
WALLMART,VIVERES,ALIMENTS
