Palabra,Plural,Acento,Caracter
APERTO,NULL,NULL,NULL
RISPARMIO,RISPARMIO,,
ANDROID,NULL,NULL,NULL
PUBBLICITÀ,ANNUNCI,NULL,NULL
APPLICAZIONE,NULL,APPLICAZIONE,NULL
SCOMMESSE,SCOMMESSE,NOW,NULL
SEXY,ATTRAENTE,NULL,NULL
AUTO,NULL,NULL,NULL
LOW,PAESI BASSI,,
BEBE,BAMBINI,BAMBINI,BAMBINO
BELLEZZA,BELLEZZE,NULL,NULL
BENEFIT,VANTAGGI,NULL,NULL
BLUETOOTH,BLUETOOTH,NULL,NULL
BONUS,BONUS,BONUS,NULL
RICERCA,STAI CERCANDO,STAI CERCANDO,NULL
CLICK,QUI,NULL,QUI
CLICCA ORA,CLICK,NULL,NULL
ACQUISTA ORA,ACQUISTO,NULL,NULL
ACQUISTIAMO,NULL,NULL,NULL
BUY,,,ACQUISTO
CONDIZIONI,CONDIZIONI,NULL,NULL
NOTO,NOTO,NULL,NULL
CONTATTACI,NULL,CONTATTACI,NULL
Contrata,NOLEGGIO,NULL,NULL
COSTO,COSTI,NULL,NULL
CITAZIONE,NULL,NULL,NULL
CREDITO,CREDITO,CREDITO,NULL
cupon,BUONI,VOUCHER,NULL
DOWNLOAD,NULL,NULL,NULL
SCONTO,SCONTI,,%
SOLDI,MONIES,,
SWEET,DOLCI,Dulcería,NULL
ECONOMICO,ECONOMICOS,ECONOMICO,ECONOMIA
ELECTRONICA,ELECTRONICOS,ELETTRONICA,NULL
SPEDIZIONE,SPEDIZIONI,SPEDIZIONE,NULL
SPECIALE,SPECIALE,,
FATTURA,FATTURAZIONE,FATTURAZIONE,NULL
GRANDE ECONOMICO,CHEAPER,GRANDE,NULL
GRATIS,GRATIS,,GRATIS
Fino a,,,
HOGAR,NULL,NULL,NULL
HOGAR,HOGAR,NULL,NULL
UNLIMITED,UNLIMITED,,
INSERIMENTO,INSERIMENTO,NULL,NULL
ENTRA ORA,INSERIMENTO,NULL,INSERIMENTO
INTERESSI,NULL,NULL,MSI
INTERNET,,,WEB
INVERNO,NULL,NULL,NULL
IOS,NULL,NULL,NULL
TOY,GIOCATTOLI,NULL,NULL
BOOK,LIBRI,NULL,NULL
LINEA BIANCA,L? NEA,BLANCA,NULL
LIQUIDAZIONE,INSEDIAMENTI,LIQUIDAZIONE,
CHIAMACI,NULL,CHIAMACI,NULL
TRUCCO,TRUCCO,NULL,NULL
MEDICO,MEDICI,NULL,NULL
MESI,NULL,NULL,NULL
MODA,MODA,NULL,NULL
MOTO,MOTO,NULL,NULL
OFFERTA,OFFERTE,,%
AUTUNNO,NULL,NULL,NULL
SPONSORED,SPONSORED,,
PROFUMO,PROFUMI,NULL,NULL
PIANO,PIANI,,
PREZZO,PREZZI,,$
PRIMAVERA,NULL,NULL,NULL
PRODOTTI,PRODOTTI,,
PROMOZIONE,PROMOZIONI,PROMOZIONE,PROMO
PROTEGGE,NULL,NULL,NULL
POINT,PUNTI,,
QUALITAS,QUALITAS,Qualitas,NULL
RAPIDO,RAPIDOS,,
SCONTO,VENDITE,,-
RICOMPENSA,PREMI,,
REGALO,REGALI,,
REGISTRO,REGISTRO,NULL,NULL
RISTORANTE,RISTORANTI,,NULL
MAGAZINE,RIVISTE,NULL,NULL
SALUTE,NULL,NULL,NULL
ASSICURAZIONE,ASSICURAZIONE,NULL,NULL
SERVIZIO,SERVIZI,,
SEGUICI,NULL,SEGUICI,NULL
TAXI,TAXI,NULL,NULL
TECNOLOGIA,TECNOLOGIAS,TECNOLOGIA,TECNOLOGIE
Ho finito,TERMINI,TERM,TERMINI
TEMPO D'ARIA,TEMPO,AIR,NULL
SHOP,NEGOZI,FILIALE,FILIALI
Unete,NULL,ISCRIVITI,NULL
USATO,NULL,NULL,NULL
IN VENDITA,NULL,NULL,NULL
GUARDA IL VIDEO,VISTA,VIDEO,NULL
ESTATE,NULL,NULL,NULL
VITA,NULL,NULL,NULL
GIOCO VIDEO,GIOCHI VIDEO,NULL,NULL
WIRELESS,WIRELESS,WI-FI,WIFI
