Palabra,Plural,Acento,Caracter
ABRIR,NULL,NULL,NULL
ECONOMIAS,ECONOMIAS,,
ANDROID,NULL,NULL,NULL
PUBLICIDADE,ANÚNCIOS,NULL,NULL
APLICAÇÃO,NULL,APLICAÇÃO,NULL
APOSTA,APOSTA,AGORA,NULL
ATRATIVO,ATRAÇÕES,NULL,NULL
AUTO,NULL,NULL,NULL
LOW,LOW,,
BEBÊ,BEBÊS,BEBÊS,BEBÊ
BELEZA,Belezas,NULL,NULL
BENEFÍCIO,BENEFÍCIOS,NULL,NULL
BLUETOOTH,BLUETOOTH,NULL,NULL
BÔNUS,BÔNUS,BÔNUS,NULL
PESQUISA,PROCURANDO,PROCURANDO,NULL
CLICK,AQUI,NULL,AQUI
CLIQUE AGORA,CLICK,NULL,NULL
COMPRAR AGORA,COMPRAR,NULL,NULL
NÓS COMPRAMOS,NULL,NULL,NULL
COMPRAR,,,COMPRAR
CONDIÇÃO,CONDIÇÕES,NULL,NULL
CONHEÇA,CONHEÇA,NULL,NULL
Contate-nos,NULL,Contate-nos,NULL
Contratar,Contratar,NULL,NULL
CUSTO,CUSTOS,NULL,NULL
CITAÇÕES,NULL,NULL,NULL
CRÉDITO,CRÉDITO,CRÉDITO,NULL
CUPOM,CUPONS,CUPOM,NULL
Baixar,NULL,NULL,NULL
DESCONTO,DESCONTOS,,%
DINHEIRO,DINHEIRO,,$
SWEET,SWEETS,DULCERÍA,NULL
ECONÔMICO,ECONÔMICO,ECONÔMICO,ECONÔMICO
ELETRÔNICA,ELETRÔNICA,ELETRÔNICA,NULL
ENVIO,ENVIO,ENVIO,NULL
ESPECIAIS,ESPECIAIS,,
FATURA,FATURAMENTO,FATURAMENTO,NULL
ÓTIMO BARATO,BARATO,GRANDE,NULL
GRÁTIS,GRÁTIS,,GRÁTIS
Até,,,
CASA,NULL,NULL,NULL
CASA,CASA,NULL,NULL
ILIMITADO,ILIMITADO,,
ENTER,ENTER,NULL,NULL
ENTRAR AGORA,ENTER,NULL,ENTER
INTERESSE,NULL,NULL,MSI
INTERNET,,,WEB
INVERNO,NULL,NULL,NULL
IOS,NULL,NULL,NULL
BRINQUEDO,BRINQUEDOS,NULL,NULL
LIVRO,LIVROS,NULL,NULL
LINHA BRANCA,LEA,BRANCO,NULL
LIQUIDAÇÃO,Assentamentos,LIQUIDAÇÃO,
LIGUE,NULL,LIGUE,NULL
MAQUIAGEM,COMPOSIÇÃO,NULL,NULL
Médico,MÉDICO,NULL,NULL
MESES,NULL,NULL,NULL
Moda,Moda,NULL,NULL
MOTOCICLETA,MOTOCICLETAS,NULL,NULL
OFERTA,OFERTAS,,%
OUTONO,NULL,NULL,NULL
PATROCINADO,PATROCINADO,,
PERFUME,PERFUMES,NULL,NULL
PLANO,PLANOS,,
PREÇO,PREÇOS,,$
PRIMAVERA,NULL,NULL,NULL
PRODUTO,PRODUTOS,,
PROMOÇÃO,PROMOÇÕES,PROMOÇÃO,PROMO
PROTEGER,NULL,NULL,NULL
PONTO,PONTOS,,
QUALITAS,QUALITAS,QUÁLITAS,NULL
RÁPIDO,RÁPIDO,,
DESCONTO,VENDA,,-
RECOMPENSA,RECOMPENSAS,,
PRESENTE,PRESENTES,,
CADASTRE-SE,CADASTRE-SE,NULL,NULL
RESTAURANTE,RESTAURANTES,,NULL
REVISTA,REVISTAS,NULL,NULL
SAÚDE,NULL,NULL,NULL
SEGURO,SEGURO,NULL,NULL
SERVIÇO,SERVIÇOS,,
SIGA-NOS,NULL,SIGA-NOS,NULL
TAXI,TAXI,NULL,NULL
TECNOLOGIA,TECNOLOGIAS,TECNOLOGIA,TECNOLOGIAS
Eu termino,TERMOS,TERM,TERMOS
AIR TIME,TIME,AIR,NULL
LOJA,LOJAS,FILIAL,FILIAIS
UNETE,NULL,ENTRAR,NULL
Usado,NULL,NULL,NULL
VENDER,NULL,NULL,NULL
VER VÍDEO,VER,VIDEO,NULL
VERÃO,NULL,NULL,NULL
LIFE,NULL,NULL,NULL
JOGO DE VÍDEO,JOGOS DE VÍDEO,NULL,NULL
WIRELESS,WIRELESS,WI-FI,WIFI
