CLAVE,Tipo,Concepto
5G,INTERNET,INTERNET
AMERICANO,SPORTS,ENTRETENIMENTO
AUSCULTADORES,ELETRÔNICO,ENTRETENIMENTO
BASQUETE,SPORTS,ENTRETENIMENTO
BASQUETEBOL,SPORTS,ENTRETENIMENTO
BASEBOL,SPORTS,ENTRETENIMENTO
BESTBUY,"APARELHOS ELÉTRICOS, ELETRÔNICA",ELETRÔNICA
CHIFRE,ELETRÔNICA,ENTRETENIMENTO
COZINHAS,ELETRÔNICA,ENTRETENIMENTO
SACOS,ACESSÓRIO,VESTIDO
TELEFONES,ELETRÔNICA,ELETRÔNICA
COZINHA,QUARTO,CASA LAR
COMPUTADORES,ELETRÔNICA,ELETRÔNICA
CONSOLES,ELETRÔNICA,ENTRETENIMENTO
Executar,SPORTS,ENTRETENIMENTO
APARELHOS,APARELHOS,APARELHOS
ELETRÔNICA,ELETRÔNICA,ELETRÔNICA
ELES,GÊNERO,SOCIAL
ELES,GÊNERO,SOCIAL
FAMÍLIA,GÊNERO,SOCIAL
FUTEBOL,SPORTS,ENTRETENIMENTO
GINÁSIO,SPORTS,ENTRETENIMENTO
GINÁSIO,SPORTS,ENTRETENIMENTO
HOMEM,GÊNERO,SOCIAL
PORTÁTEIS,ELETRÔNICA,ELETRÔNICA
LAVADORAS,ELETRÔNICA,APARELHOS
Liquidificadores,ELETRÔNICA,APARELHOS
NATAÇÃO,SPORTS,ENTRETENIMENTO
DISPLAY,ELETRÔNICA,ENTRETENIMENTO
Telas,APARELHOS,CASA LAR
REFRIGERADORES,ELETRÔNICA,APARELHOS
SMARTPHONES,ELETRÔNICA,ELETRÔNICA
SMARTWATCHS,ELETRÔNICA,ELETRÔNICA
FUTEBOL,SPORTS,ENTRETENIMENTO
COMPRIMIDOS,ELETRÔNICA,ELETRÔNICA
JOGOS DE VÍDEO,ENTRETENIMENTO,ENTRETENIMENTO
WALLMART,VIVERES,ALIMENTOS
